,actualPrice,suggPrice,numReviews,avgRating,questions,answers,brand,productCategory,priceDiff,percentSaved,answersPerQuestion,market,sku
358,29.96,39.95,1.0,5.0,2.0,21.0,emile henry,Bakers & Casseroles,9.990000000000002,0.2500625782227785,10.5,France,3619657
359,11.96,25.0,4.0,4.0,1.0,26.0,sur la table,Bakers & Casseroles,13.04,0.5216,26.0,China,2292696
360,199.96,269.95,1.0,5.0,1.0,5.0,all-clad,Roasting Pans,69.98999999999998,0.25927023522874604,5.0,USA,4638284
361,99.96,185.0,1.0,5.0,1.0,1.0,staub,Bakers & Casseroles,85.04,0.4596756756756757,1.0,China,4637823
362,99.95,145.0,1.0,5.0,4.0,30.0,le creuset,Bakers & Casseroles,45.05,0.31068965517241376,7.5,Other APAC,2744092
363,47.96,60.0,14.0,4.357142857142857,12.0,69.0,sur la table,Bakers & Casseroles,12.04,0.20066666666666666,5.75,China,2303089
364,15.96,20.0,4.0,4.0,5.0,58.0,sur la table,Bakers & Casseroles,4.039999999999999,0.202,11.6,China,2303246
365,34.95,91.0,1.0,5.0,2.0,6.0,staub,Roasting Pans,56.05,0.6159340659340659,3.0,China,3319688
366,79.96,239.95,7.0,4.142857142857143,15.0,101.0,emile henry,Outdoor,159.99,0.6667639091477392,6.7333333333333325,France,1953835
367,89.95,130.0,3.0,5.0,3.0,53.0,le creuset,Bakers & Casseroles,40.05,0.3080769230769231,17.666666666666668,Other APAC,3218245
368,63.96,105.0,2.0,5.0,5.0,24.0,staub,Bakers & Casseroles,41.04,0.3908571428571429,4.8,China,1930262
369,84.95,84.95,2.0,3.0,3.0,7.0,emile henry,Bakers & Casseroles,0.0,0.0,2.333333333333333,France,3660024
370,99.95,99.95,1.0,5.0,5.0,18.0,emile henry,Specialty Cookware,0.0,0.0,3.6,France,3562725
371,149.96,357.0,1.0,4.0,4.0,12.0,staub,Bakers & Casseroles,207.04,0.5799439775910364,3.0,France,1206168
372,74.95,74.95,5.0,4.8,9.0,64.0,emile henry,Roasting Pans,0.0,0.0,7.111111111111112,France,1750603
373,24.96,70.0,3.0,5.0,1.0,10.0,staub,Bakers & Casseroles,45.04,0.6434285714285715,10.0,China,4637906
374,24.95,24.95,1.0,5.0,1.0,14.0,emile henry,Bakers & Casseroles,0.0,0.0,14.0,France,3619491
375,1.76,10.0,1.0,5.0,2.0,33.0,sur la table,Bakers & Casseroles,8.24,0.8240000000000001,16.5,China,2509768
376,15.0,15.0,2.0,5.0,4.0,31.0,oxo,Roasting Pans,0.0,0.0,7.75,China,3325701
377,69.95,69.95,1.0,5.0,1.0,2.0,revol,Bakers & Casseroles,0.0,0.0,2.0,France,3659158
378,5.96,12.0,4.0,5.0,3.0,44.0,sur la table,Bakers & Casseroles,6.04,0.5033333333333333,14.666666666666664,China,2509784
379,164.95,236.0,5.0,5.0,5.0,42.0,staub,Roasting Pans,71.05000000000003,0.30105932203389835,8.4,France,2294981
380,15.96,20.0,14.0,4.928571428571429,5.0,60.0,sur la table,Bakers & Casseroles,4.039999999999999,0.202,12.0,China,2303360
381,41.95,55.0,1.0,5.0,2.0,16.0,le creuset,Bakers & Casseroles,13.049999999999995,0.2372727272727272,8.0,China,2087252
382,119.95,171.0,1.0,4.0,3.0,6.0,staub,Bakers & Casseroles,51.05,0.29853801169590644,2.0,France,2818383
383,119.95,119.95,2.0,5.0,2.0,11.0,staub,Bakers & Casseroles,0.0,0.0,5.5,France,2818342
384,59.95,59.95,7.0,4.857142857142857,3.0,55.0,emile henry,Bakers & Casseroles,0.0,0.0,18.33333333333333,France,1953421
385,11.96,15.0,5.0,3.8,3.0,17.0,sur la table,Bakers & Casseroles,3.0399999999999987,0.2026666666666666,5.666666666666668,Other APAC,3333507
386,109.95,109.95,1.0,5.0,2.0,6.0,revol,Specialty Cookware,0.0,0.0,3.0,France,1556711
387,64.95,93.0,1.0,5.0,2.0,8.0,staub,Roasting Pans,28.05,0.3016129032258064,4.0,France,1272558
388,49.95,70.0,1.0,5.0,2.0,33.0,le creuset,Bakers & Casseroles,20.05,0.28642857142857137,16.5,China,2088102
389,94.95,135.0,1.0,5.0,2.0,3.0,le creuset,Bakers & Casseroles,40.05,0.29666666666666663,1.5,China,2693794
390,24.96,91.0,2.0,4.0,3.0,9.0,staub,Roasting Pans,66.03999999999999,0.7257142857142856,3.0,China,3319787
391,114.95,164.0,1.0,5.0,3.0,2.0,staub,Roasting Pans,49.05,0.2990853658536585,0.6666666666666666,France,3842317
392,114.95,164.0,3.0,5.0,8.0,47.0,staub,Roasting Pans,49.05,0.2990853658536585,5.875,France,1213735
393,99.95,150.0,8.0,4.875,6.0,59.0,all-clad,Roasting Pans,50.05,0.3336666666666667,9.833333333333334,China,2758464
394,49.95,70.0,2.0,3.0,5.0,17.0,staub,Bakers & Casseroles,20.05,0.28642857142857137,3.4,China,1908714
395,69.95,69.95,4.0,5.0,1.0,32.0,emile henry,Bakers & Casseroles,0.0,0.0,32.0,France,1953371
396,22.0,22.0,6.0,5.0,2.0,51.0,cuisipro,Roasting Pans,0.0,0.0,25.5,China,2801355
397,31.96,40.0,3.0,5.0,2.0,31.0,sur la table,Bakers & Casseroles,8.04,0.201,15.5,China,2292720
398,18.95,18.95,1.0,5.0,2.0,12.0,lodge,Bakers & Casseroles,0.0,0.0,6.0,USA,653493
399,19.95,19.95,1.0,5.0,3.0,14.0,emile henry,Bakers & Casseroles,0.0,0.0,4.666666666666667,France,3619426
400,15.0,15.0,6.0,4.333333333333333,5.0,65.0,sur la table,Roasting Pans,0.0,0.0,13.0,China,2246882
401,64.95,93.0,4.0,5.0,5.0,16.0,staub,Roasting Pans,28.05,0.3016129032258064,3.2,France,1206002
402,49.95,70.0,1.0,5.0,2.0,8.0,le creuset,Bakers & Casseroles,20.05,0.28642857142857137,4.0,China,2092617
403,49.95,49.95,1.0,5.0,1.0,15.0,le creuset,Bakers & Casseroles,0.0,0.0,15.0,China,2087278
404,10.0,10.0,9.0,4.4444444444444455,5.0,70.0,sur la table,Roasting Pans,0.0,0.0,14.0,China,2246874
405,39.95,39.95,2.0,5.0,3.0,48.0,emile henry,Bakers & Casseroles,0.0,0.0,16.0,France,1953538
406,39.95,39.95,1.0,5.0,5.0,24.0,emile henry,Bakers & Casseroles,0.0,0.0,4.8,France,1751825
407,18.95,18.95,3.0,5.0,3.0,27.0,lodge,Bakers & Casseroles,0.0,0.0,9.0,USA,653485
408,32.95,32.95,3.0,5.0,6.0,26.0,nordic ware,Specialty Cookware,0.0,0.0,4.333333333333333,USA,2297604
409,15.95,15.95,1.0,4.0,2.0,3.0,le creuset,Bakers & Casseroles,0.0,0.0,1.5,China,3975927
410,24.95,24.95,1.0,5.0,1.0,9.0,emile henry,Bakers & Casseroles,0.0,0.0,9.0,France,3619376
411,19.96,25.0,1.0,3.0,3.0,15.0,sur la table,Bakers & Casseroles,5.039999999999999,0.2016,5.0,Other APAC,2694024
412,169.95,169.95,5.0,5.0,3.0,51.0,all-clad,Roasting Pans,0.0,0.0,17.0,China,3623576
413,249.95,249.95,1.0,5.0,1.0,1.0,revol,Bakers & Casseroles,0.0,0.0,1.0,France,3659174
