sku,actualPrice,suggPrice,numReviews,avgRating,questions,answers,brand,productCategory,priceDiff,percentSaved,answersPerQuestion,market,percentSaved_Dev_productCategory,priceDiff_Dev_productCategory,actualPrice_Dev_productCategory,twoPlusReviews,France,Germany,India,Italy,Japan,Other APAC,Other Americas,Other EMEA,USA,percentSaved_Dev_market,priceDiff_Dev_market,actualPrice_Dev_market,suggPrice_Dev_market
1460922,149.96,343.0,14.0,4.857142857142857,26.0,120.0,staub,Saute Pans,193.04,0.562798833819242,4.615384615384615,France,0.7881406144428365,0.8114454124168328,-0.3213553993560006,1,1,0,0,0,0,0,0,0,0,2.2626471527612826,1.3840690982147748,-0.04514447263596014,0.5193941848204866
298951,284.95,407.0,118.0,4.957627118644068,29.0,169.0,staub,Dutch Ovens & Braisers,122.05,0.2998771498771499,5.827586206896553,France,-0.007773789490086089,0.2876252110042126,0.4919180083355641,1,1,0,0,0,0,0,0,0,0,0.8217182034368365,0.6829381360350796,0.7242253364798799,0.7708081166928941
1432574,599.96,1679.0,10.0,4.9,18.0,103.0,scanpan,Cookware Sets,1079.04,0.6426682549136391,5.722222222222222,Other EMEA,1.7253547347032112,2.372986827285933,-0.33282511950556876,1,0,0,0,0,0,0,0,1,0,1.7987846531575789,3.6739506278022227,0.5618957543646897,1.52707844990102
3895943,149.96,357.0,134.0,4.902985074626866,41.0,266.0,staub,Dutch Ovens & Braisers,207.04,0.5799439775910364,6.487804878048781,France,1.6382524039470465,1.3568630359103582,-0.5688605620459491,1,1,0,0,0,0,0,0,0,0,2.356610243331437,1.5223397485953316,-0.04514447263596014,0.5743909824175757
4482816,199.96,324.95,66.0,4.727272727272728,16.0,127.0,le creuset,Dutch Ovens & Braisers,124.98999999999998,0.38464379135251575,7.9375,France,0.4904219923419812,0.3246126119363699,-0.17595050560417072,1,1,0,0,0,0,0,0,0,0,1.286277481346233,0.7119749726149962,0.23982841762103674,0.4484875993470966
4140703,99.96,277.0,73.0,4.890410958904108,27.0,162.0,scanpan,Cookware Sets,177.04000000000005,0.6391335740072203,6.0,Other EMEA,1.6977489124128708,-1.2944941652795916,-1.4215501869564635,1,0,0,0,0,0,0,0,1,0,1.7831692129134218,0.26133847260322407,-0.24004844296343172,-0.09313478278828685
4140695,199.96,421.0,21.0,4.476190476190476,7.0,57.0,scanpan,Cookware Sets,221.04,0.5250356294536817,8.142857142857142,Other EMEA,0.8066451142402402,-1.1155926534471274,-1.2038051734662845,1,0,0,0,0,0,0,0,1,0,1.2791096719456727,0.42780735822268723,-0.07965960349780744,0.07327798861489444
4468666,149.96,249.95,15.0,4.666666666666667,14.0,123.0,le creuset,Dutch Ovens & Braisers,99.98999999999998,0.4000400080016003,8.785714285714286,France,0.5809095952155201,0.010093896526867156,-0.5688605620459491,1,1,0,0,0,0,0,0,0,0,1.3706556655534476,0.4650630969354304,-0.04514447263596014,0.15386189793411903
462580,1299.95,1810.0,15.0,5.0,10.0,77.0,all-clad,Cookware Sets,510.05,0.2817955801104972,7.7,USA,-1.0930572220775039,0.05950566325061395,1.1913682004243349,1,0,0,0,0,0,0,0,0,1,1.2695194715145965,5.598599370437469,5.487876227430219,5.762701076244586
2758340,599.95,900.0,41.0,4.780487804878049,11.0,91.0,all-clad,Cookware Sets,300.0499999999999,0.33338888888888885,8.272727272727273,China,-0.6901139999833925,-0.7943424614043314,-0.3328468940069178,1,0,0,0,0,0,0,0,0,0,0.9052521776462041,3.265633672706537,3.3881501404935643,3.532568562593456
3657145,269.95,386.0,10.0,5.0,7.0,60.0,staub,Dutch Ovens & Braisers,116.05,0.30064766839378243,8.571428571428571,France,-0.003245250100904602,0.21214071930593192,0.37404499140303055,1,1,0,0,0,0,0,0,0,0,0.8259409910744314,0.6236792858719837,0.6387334694027809,0.6883129202972603
4711917,399.96,985.0,1.0,5.0,6.0,9.0,greenpan,Cookware Sets,585.04,0.5939492385786802,1.5,China,1.3448597076526132,0.36441076262144384,-0.7683151464859268,0,0,0,0,0,0,0,0,0,0,2.1786428996900744,6.6773868081256,2.1034127446281934,3.907808129775216
501239,199.96,471.0,20.0,4.55,9.0,75.0,staub,Dutch Ovens & Braisers,271.04,0.575456475583864,8.333333333333334,France,1.6118781778125129,2.162030947358686,-0.17595050560417072,1,1,0,0,0,0,0,0,0,0,2.332016716257761,2.1544341503350206,0.23982841762103674,1.0222220485653015
679035,299.96,514.0,16.0,5.0,6.0,58.0,staub,Dutch Ovens & Braisers,214.04,0.4164202334630351,9.666666666666666,France,0.6771804759335748,1.4449282762250188,0.6098696072793859,1,1,0,0,0,0,0,0,0,0,1.4604266601323552,1.59147507378561,0.8097741981350303,1.1911407840420754
2393346,259.96,700.0,9.0,4.111111111111111,9.0,71.0,sur la table,Cookware Sets,440.04,0.6286285714285714,7.8888888888888875,China,1.6157049480428138,-0.2251510377355417,-1.0731581653721773,1,0,0,0,0,0,0,0,0,0,2.3481250973855317,4.941521673784873,1.2040515994651761,2.6496519339304907
1286947,589.95,589.95,2.0,4.0,2.0,2.0,mauviel,Saute Pans,0.0,0.0,1.0,France,-1.548585385760712,-1.2114911243950797,3.631996806503576,1,1,0,0,0,0,0,0,0,0,-0.8217433019826269,-0.5224856410325611,2.462559967047561,1.489498411006284
3494655,49.99,149.0,48.0,4.833333333333333,12.0,85.0,greenpan,Skillets,99.01,0.6644966442953021,7.083333333333332,China,1.4658017516665958,0.6218345692315123,-0.9461362934454449,1,0,0,0,0,0,0,0,0,0,2.5234168148723453,0.858886592652332,-0.1447973980339576,0.21721662196402142
